lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
0,0,109.0,2,18,4,1,0,0,0,1
161,0,91.38,7,31,4,2,2,3,0,0
107,1,90.0,8,12,4,1,0,0,1,1
113,1,116.1,6,9,4,3,0,3,0,1
20,1,68.85,11,11,4,5,2,0,0,1
37,0,116.1,5,13,4,1,0,3,0,1
58,2,90.68,10,31,4,3,1,3,0,1
230,1,76.85,7,29,4,2,1,0,1,1
239,0,112.2,6,15,3,2,0,1,0,0
100,1,93.08,4,26,4,4,0,0,0,1
28,0,109.0,5,19,2,2,0,0,0,1
29,0,84.55,3,12,4,1,1,3,0,0
103,0,115.0,4,19,3,2,0,0,0,0
45,0,75.0,10,30,3,3,2,0,0,1
273,0,87.0,7,17,3,2,0,1,0,1
16,2,166.0,7,1,4,2,0,0,3,1
36,0,150.3,6,29,4,4,0,0,3,0
37,0,67.0,3,13,2,0,1,0,0,1
256,0,76.67,9,14,3,2,1,0,0,1
172,0,102.3,8,23,4,3,0,0,0,0
126,0,118.8,9,8,4,3,0,3,0,0
76,1,207.9,9,4,4,0,2,0,5,0
35,1,151.5,10,11,4,3,0,0,3,0
1,0,60.0,2,28,3,1,2,0,0,0
257,0,80.0,7,1,3,2,0,1,0,1
77,2,149.4,7,3,4,5,3,0,3,1
151,0,72.25,8,5,3,2,1,0,0,1
0,0,145.85,5,23,4,1,1,0,0,1
51,1,146.92,10,7,4,1,0,0,5,1
121,0,74.54,5,14,4,3,2,0,0,1
109,1,97.75,4,28,4,3,2,0,0,1
263,0,110.0,10,21,3,2,0,0,0,0
95,0,107.1,8,1,4,2,1,3,0,0
48,0,175.0,9,14,3,2,0,0,4,1
122,1,113.78,12,25,4,2,2,0,0,0
8,0,146.0,6,4,4,1,1,0,3,1
0,2,135.5,10,1,4,2,0,0,0,1
46,1,140.4,5,12,4,5,2,0,3,1
253,1,140.4,10,7,4,2,1,0,3,0
14,1,77.78,12,7,4,4,0,3,0,1
257,0,101.5,7,1,3,2,0,1,0,0
31,1,81.0,10,26,3,2,1,0,3,1
5,0,65.0,9,22,2,1,0,0,0,1
3,1,91.0,5,21,3,1,1,1,0,1
81,1,76.5,4,3,4,1,2,0,0,1
86,0,105.0,9,24,3,2,0,0,0,1
71,0,120.0,6,14,3,3,0,0,0,1
309,0,65.0,5,13,3,2,1,0,0,1
127,0,90.0,4,28,3,3,1,0,0,1
150,1,114.66,8,30,4,5,0,0,0,1
162,0,115.0,10,14,3,2,2,0,0,0
66,1,126.9,6,9,4,3,1,0,0,1
82,0,90.95,9,5,3,7,3,0,3,1
1,0,183.0,5,9,4,1,1,0,5,1
1,0,136.0,10,4,4,1,2,0,3,1
64,0,140.0,5,17,2,2,0,0,0,0
119,0,85.5,6,28,4,1,0,3,0,0
41,0,126.9,5,16,4,0,1,0,0,0
124,0,96.3,4,29,4,2,0,0,0,0
0,0,0.0,9,1,1,1,0,0,1,1
90,0,46.67,3,28,3,2,1,0,3,1
197,1,168.3,10,28,4,1,0,0,5,0
146,0,95.0,4,24,3,0,2,0,0,0
125,0,177.3,7,12,4,1,0,0,5,1
115,0,76.0,2,27,3,2,2,0,0,1
1,1,112.0,2,27,4,1,0,0,0,1
58,0,109.8,12,8,4,2,0,0,0,0
